problem_number,pass_num,total_num,accuracy
099,6,9
100,9,9,1
101,9,10
102,2,9
103,5,6
104,6,6,1
105,7,9
106,0,6,0
107,3,7
108,9,10
109,7,7,1
110,4,8
111,6,9
112,3,4
113,6,7
114,1,5
115,1,7
116,4,10
117,0,3,0
118,4,7
119,0,10,0
120,9,10
121,7,10
122,7,7,1
123,3,5
124,6,10
125,8,10
126,8,9
127,5,10
128,6,9
129,5,7
130,3,5
131,0,8,0
132,8,8,1
133,5,8
134,2,3
135,3,7
136,3,9
137,1,4
138,4,5
139,5,5,1
140,3,4
141,2,9
142,1,4
143,2,9
144,1,6
145,2,2,1
146,7,10
147,2,8
148,8,9
149,3,6
150,4,6
151,5,5,1
152,4,5
153,4,7
154,1,8
155,2,10
156,3,9
157,6,9
158,6,7
159,6,8
160,4,7
161,4,7
162,1,8
163,1,10
164,0,5,0
165,6,8
166,5,5,1
167,6,9
168,8,9
169,4,4,1
170,9,9,1
171,5,6
172,3,3,1
173,2,9
174,5,6
175,2,10
176,8,9
177,8,8,1
178,4,6
179,2,9
180,4,6
181,0,6,0
182,4,5
183,3,6
184,2,3
185,5,10
186,4,5
187,4,9
188,4,10
189,8,10
190,0,10,0
191,9,9,1
192,4,8
193,0,7,0
194,3,7
195,6,8
196,3,5
197,3,3,1
198,3,8
199,5,6
200,4,10
201,6,10
202,5,6
203,4,4,1
204,3,7
205,0,4,0
206,6,9
207,6,9
208,3,10
209,6,9
210,7,8
211,0,4,0
212,0,9,0
213,4,7
214,3,8
215,6,6,1
216,3,8
217,5,6
218,2,6
219,4,10
220,6,7
221,5,5,1
222,10,10,1
223,4,8
224,6,7
225,2,10
226,1,6
227,1,10
228,3,9
229,1,8
230,0,9,0
231,0,3,0
232,7,7,1
233,0,7,0
234,0,3,0
235,3,9
236,4,9
237,6,7
238,3,4
239,0,7,0
240,3,8
241,4,10
242,0,10,0
243,3,10
244,5,6
245,0,10,0
246,5,10
247,0,7,0
248,4,7
249,0,10,0
250,0,9,0
251,0,6,0
252,4,5
253,0,10,0
254,2,10
255,6,6,1
256,6,6,1
257,1,10
258,6,10
259,0,10,0
260,1,10
261,6,10
262,6,9
263,4,10
264,9,10
265,0,10,0
266,9,9,1
267,2,10
268,8,10
269,6,6,1
270,0,9,0
271,5,9
272,4,6
273,3,5
274,4,6
275,7,7,1
276,4,9
277,7,9
278,8,9
279,0,10,0
280,7,9
281,3,3,1
282,7,8
283,2,5
284,7,8
285,0,9,0
286,0,10,0
287,9,10
