problem_number,pass_num,total_num,accuracy
099,5,9
100,7,9
101,3,10
102,3,10
103,1,10
104,9,10
105,6,10
106,5,10
107,6,10
108,3,9
109,2,10
110,0,10,0
111,4,10
112,6,10
113,3,10
114,0,10,0
115,7,8
116,2,10
117,9,10
118,1,10
119,5,10
120,4,7
121,6,10
122,0,1,0
123,6,9
124,2,10
125,5,9
126,0,10,0
127,8,9
128,1,10
129,4,10
130,0,9,0
131,2,8
132,6,7
133,9,9,1
134,4,9
135,6,9
136,4,10
137,6,10
138,0,10,0
139,9,10
140,0,1,0
141,9,9,1
142,8,8,1
143,8,8,1
144,0,9,0
145,0,9,0
146,3,10
147,4,10
148,3,8
149,9,10
150,0,8,0
151,4,10
152,9,10
153,8,8,1
154,8,8,1
155,4,10
156,6,10
157,1,10
158,4,9
159,0,7,0
160,7,9
161,7,9
162,7,9
163,3,8
164,9,9,1
165,1,10
166,6,10
167,7,10
168,0,10,0
169,4,8
170,5,10
171,6,10
172,7,10
173,7,10
174,6,10
175,7,10
176,5,10
177,1,10
178,6,8
179,7,10
180,4,10
181,9,10
182,0,5,0
183,2,10
184,3,5
185,1,9
186,10,10,1
187,0,9,0
188,1,10
189,1,10
190,8,10
191,0,10,0
192,1,8
193,3,10
194,0,9,0
195,0,10,0
196,0,9,0
197,2,10
198,4,10
199,1,10
200,5,10
201,5,10
202,0,6,0
203,6,10
204,0,10,0
205,6,9
206,3,10
207,3,10
208,0,10,0
209,8,10
210,5,10
211,4,10
212,8,10
213,2,10
214,0,10,0
215,0,10,0
216,0,9,0
217,9,9,1
218,0,10,0
219,5,10
220,4,10
221,1,10
222,4,9
223,0,10,0
224,7,10
225,0,10,0
226,0,10,0
227,0,10,0
228,0,10,0
229,0,10,0
230,2,10
231,2,10
232,0,10,0
233,0,10,0
234,2,10
235,0,8,0
236,0,10,0
237,0,6,0
238,0,10,0
239,0,10,0
240,0,10,0
241,0,10,0
242,0,10,0
243,0,10,0
244,3,10
245,0,10,0
246,0,10,0
247,7,9
248,0,10,0
249,0,9,0
250,0,10,0
251,0,10,0
252,0,10,0
253,0,10,0
254,0,10,0
255,0,10,0
256,0,10,0
257,0,10,0
258,7,8
259,0,9,0
260,0,8,0
261,5,10
262,0,9,0
263,0,10,0
264,0,10,0
265,0,10,0
266,6,10
267,0,10,0
268,0,10,0
269,2,10
270,0,10,0
271,0,10,0
272,2,10
273,0,10,0
274,0,10,0
275,0,10,0
276,0,6,0
277,0,10,0
278,1,10
279,0,10,0
280,2,6
281,1,10
282,1,9
283,0,10,0
284,4,10
285,5,9
286,0,9,0
287,0,10,0
