problem_number,pass_num,total_num,accuracy
099,4,7
100,4,5
101,3,10
102,5,6
103,7,10
104,8,10
105,5,10
106,7,10
107,3,10
108,5,5,1
109,9,10
110,7,9
111,6,9
112,1,10
113,9,10
114,7,9
115,9,9,1
116,7,9
117,8,9
118,6,10
119,2,10
120,5,9
121,8,9
122,0,8,0
123,0,10,0
124,10,10,1
125,9,10
126,7,9
127,3,7
128,3,10
129,9,10
130,10,10,1
131,2,10
132,0,9,0
133,6,10
134,8,8,1
135,6,10
136,8,9
137,9,10
138,0,10,0
139,0,1,0
140,7,9
141,8,9
142,7,8
143,7,9
144,8,9
145,8,8,1
146,0,10,0
147,0,9,0
148,8,10
149,8,9
150,8,8,1
151,9,10
152,5,5,1
153,5,6
154,0,9,0
155,3,5
156,8,8,1
157,8,10
158,3,9
159,1,9
160,9,9,1
161,9,9,1
162,5,9
163,8,8,1
164,7,8
165,2,10
166,4,10
167,4,6
168,8,8,1
169,8,10
170,10,10,1
171,7,9
172,5,6
173,9,10
174,10,10,1
175,2,10
176,7,10
177,5,10
178,2,4
179,10,10,1
180,0,6,0
181,8,10
182,2,10
183,0,7,0
184,6,8
185,7,10
186,9,10
187,9,10
188,9,10
189,6,10
190,9,10
191,3,8
192,1,10
193,4,10
194,6,10
195,5,10
196,1,9
197,6,10
198,0,10,0
199,5,9
200,6,8
201,9,10
202,0,8,0
203,1,10
204,6,8
205,7,10
206,9,10
207,0,10,0
208,5,8
209,5,10
210,5,9
211,3,8
212,6,10
213,1,7
214,7,10
215,8,9
216,8,10
217,3,9
218,5,10
219,8,10
220,7,8
221,2,9
222,5,6
223,5,9
224,9,9,1
225,0,10,0
226,8,10
227,0,10,0
228,0,10,0
229,0,7,0
230,1,10
231,8,10
232,0,10,0
233,1,10
234,0,10,0
235,0,9,0
236,2,8
237,6,10
238,0,10,0
239,2,3
240,2,3
241,1,10
242,8,8,1
243,9,10
244,2,10
245,6,10
246,0,9,0
247,0,10,0
248,6,9
249,5,10
250,2,10
251,0,10,0
252,0,10,0
253,0,10,0
254,6,10
255,0,10,0
256,0,10,0
257,0,10,0
258,0,10,0
259,0,10,0
260,0,9,0
261,9,10
262,1,10
263,0,10,0
264,0,7,0
265,0,10,0
266,4,5
267,0,10,0
268,7,8
269,5,10
270,0,10,0
271,2,10
272,0,10,0
273,0,10,0
274,2,10
275,6,6,1
276,3,10
277,1,10
278,0,10,0
279,4,6
280,8,8,1
281,4,9
282,6,8
283,8,9
284,6,10
285,6,9
286,3,5
287,4,10
